Name	X	Y	Starport	Size	Atmosphere	Hydrospehere	Population	Government	Law	Tech	Bases	Remarks	Zone	Stars	Planets	Belts	Gas Giants
Beck's World	22	4.5	D	8	8	3	4	9	D	5		Ni An Da		K0 V M2 V	9	0	1
Enope	22	5.5	C	4	1	1	9	8	8	7		Hi Ic In Na		K6 V M5 V	7	0	0
Wochiers	22	7.5	E	A	C	2	8	C	C	A		Fl He Ph Pz		F0 V	8	0	3
K'Kirka	22	12.5	C	A	A	5	3	4	5	9		Fl Lo		M2 V	6	0	2
Quopist	22	15.5	B	5	5	1	6	7	9	B		Ni Po Da	A	M3 V	8	2	1
Carse	22	24.5	C	5	6	3	3	2	5	A		Lo		M3 V M6 V	8	0	1
Persephone	22	28.5	A	7	7	5	9	3	3	C	W	Pa Ph Pi		M2 V	1	2	2
Marastan	22	31.5	B	8	6	8	7	9	4	9		Ag Ri Pz Re K'kr0		K7 V	9	2	4
Crout	22	32.5	C	4	3	5	9	C	A	8		Hi Pz		M7 III M2 V	4	1	4
Tirem	22	33.5	C	7	B	5	A	8	5	C		Fl Hi In		K5 V	2	2	1
Inthe	22	34.5	C	1	0	0	5	9	8	C		Ni Va		K3 V	2	2	4
Tsarina	22	36.5	D	4	2	0	6	3	6	7		De He Na Ni Po	A	M2 V M2 V	6	0	1
Ftaokhaorlyu	22	37.5	C	7	9	5	3	K	4	A	S	Lo Da AslaW	A	F8 V	8	1	0
Yorbund	23	3	C	7	C	6	5	0	3	8		Fl Ni		M3 V	3	2	0
Shionthy	23	6	C	0	0	0	7	4	2	9		As Na Va An Pi Fo		F6 V	8	1	4
Algine	23	8	X	7	6	6	9	7	7	4		Hi Ga Pr Fo	R	G9 V	9	2	3
Yurst	23	9	E	7	B	4	6	4	3	6		Fl Ni (Ursty)		K9 V	7	2	4
Treece	23	11	D	4	3	2	8	A	6	8		Na Po Ph O:2410		M1 V	8	1	0
Echiste	23	13	C	5	3	A	4	3	4	C		Lo Wa		G4 V	5	2	0
Pirema	23	14	C	6	9	1	1	4	2	7		He Lo		M2 V	9	0	2
Rhise	23	17	C	1	0	0	6	4	4	9		Ni Va Da	A	K7 V	2	1	0
Ivendo	23	19	A	4	2	4	6	5	9	C	NS	Ni		A9 V	4	1	2
Quiru	23	21	B	5	6	5	3	6	A	9		Lo		M3 V	7	2	3
Gorram	23	22	E	5	5	4	2	2	0	7		Lo Fo	A	K8 V M6 V	8	0	1
Resten	23	23	B	3	1	0	1	0	0	B	S	Lo		K5 V M8 V	6	0	1
Capon	23	24	A	7	4	7	7	4	8	B	N	Ag Pi		F9 V	8	1	0
Sharrip	23	25	C	5	7	5	1	0	1	B		Lo		K5 V	4	0	3
Strouden	23	27	A	7	4	5	A	8	8	F	N	Hi In		G5 V M4 V	1	2	0
Bicornn	23	31	E	5	6	3	5	7	6	5		Ni Pr Asla2		F3 V M3 V	3	1	0
Ffudn	23	34	A	4	1	4	8	9	D	D		Ic Ph Pi Pz		M0 V	1	0	4
Bendor	23	36	A	7	5	6	6	5	6	E	NS	Ag Ni Ga Asla1		F5 V	2	2	0
Heya	24	2.5	B	6	8	7	8	4	5	6	S	Ag Ga Ri		K6 III M3 V	1	3	4
Keng	24	5.5	E	5	7	1	8	C	A	5				G5 V M9 V	7	1	2
Moughas	24	6.5	C	A	5	A	5	8	8	B		Ni Oc		K9 V M9 V	9	0	1
Rethe	24	8.5	E	4	3	0	A	A	8	9		De Hi Na Po		G7 V	3	2	3
Inthe	24	10.5	B	5	7	5	7	7	6	A	NS	Ag An Pi		F8 V	7	2	3
Keanou	24	11.5	C	7	9	2	3	4	8	8	S	He Lo		M3 III M2 V	6	1	3
Tureded	24	14.5	B	5	6	5	5	4	0	A		Ag Ni Pr		M3 V	8	1	4
Vreibefger	24	15.5	E	5	8	1	6	4	2	6		Ni Pr RsE		K9 V	8	0	1
La'Belle	24	16.5	C	5	6	4	2	2	3	6		Lo		F2 V M3 V	2	1	0
Equus	24	17.5	B	5	5	A	8	5	8	C	S	Wa Ph Dolp1		F6 V M1 V	6	0	2
Icetina	24	18.5	B	5	2	4	5	C	8	9	N	Ni	A	K9 V M8 V	7	0	1
Cogri	24	19.5	C	A	6	A	6	5	4	9		Ni Oc Ri		M1 V	8	3	2
Skull	24	20.5	B	4	2	3	7	C	7	B	N	Na Po Pi		M0 V M1 V	8	0	1
Gandr	24	25.5	E	0	0	0	3	4	7	9		As Lo Va		M1 V	6	0	3
Drolraw	24	26.5	D	A	B	6	4	1	3	8		Fl Lo		F1 V	2	0	4
Paya	25	9	A	6	5	5	3	3	3	8	N	Lo Ni		F3 V	3	0	3
Dhian	25	10	C	9	A	7	5	9	D	7		Fl Ni Da	A	K5 V	6	0	2
Kinorb	25	12	C	5	4	9	4	3	3	B		Ni		F0 V K9 V	5	0	2
Gileden	25	14	C	5	8	3	4	5	4	9		Lo		M1 V	2	0	3
Pannet	25	19	D	9	C	5	5	7	7	7		Fl Ni		K5 V	2	2	4
Garrincski	25	20	B	6	3	2	5	2	0	A	S	Ni Po		M0 V M7 V	4	1	0
Heroni	25	21	A	6	4	4	9	B	9	A		Hi In Pz	A	F3 V	9	2	1
Byret	25	23	B	5	8	5	7	2	6	9		Ag Ni Ri (Larianz)		G9 V	1	1	2
Pimane	25	27	E	5	0	0	3	4	3	6		Lo Va		K0 V	9	0	3
Burtson	25	34	C	5	6	2	6	6	7	9		Ni Ri O:2536		G4 V	6	0	2
Squanine	25	36	A	3	0	0	5	5	0	E		Ni Va		F4 V M2 V	6	0	3
Dobham	25	37	A	5	5	0	5	5	2	D	S	De Ni Po Asla2		G0 V	3	2	3
Roihye	25	38	E	5	6	6	5	L	9	4		Lo AslaW		K6 V	8	1	4
Thisbe	25	39	E	4	3	0	5	9	9	7		De Ni Po Da		F8 V	6	2	2
Aramis	25	40	B	6	5	9	8	8	3	9		Asla0		K5 V	2	2	4
Corfu	26	2.5	E	8	9	5	5	5	2	5	S	Ag Ni An Da Varg3	A	M0 V	3	2	2
Focaline	26	7.5	E	A	8	8	5	4	4	7		Ag Ni Varg0		F3 V	9	2	4
Depot	26	12.5	A	0	0	0	5	5	3	F	D	As Ni Va		G8 V M8 V	9	0	1
Fulacin	26	13.5	A	6	7	4	5	5	3	F		Lo An		G3 V	8	1	0
Natoko	26	20.5	B	8	8	7	9	A	B	A		Hi Ga An Pr Pz		F4 V	2	0	4
Fosey	26	21.5	A	6	3	3	6	8	8	C		Na Ni Po		M3 V	8	2	0
Mercury	26	24.5	A	6	5	8	6	6	3	A	NS	Ag Ni Mr		F7 V	4	0	4
Tivid	26	27.5	C	5	3	4	4	7	7	A		Ni		M3 V	9	0	1
Robin	26	37.5	C	0	0	0	5	9	C	C		As Ni Va Da Asla1	A	M2 V	2	1	2
D'Mara	26	38.5	E	7	5	A	8	9	8	8		Wa		F4 V	2	1	0
Keltchner	26	39.5	C	5	2	5	5	8	8	A		Ni O:2637		K6 V	8	0	2
Lablon	27	1	A	6	4	6	6	8	9	A	IS	Ag Ni Varg4		M2 III M4 V	1	0	3
Heguz	27	6	E	6	6	A	2	2	4	9		Lo Wa		K2 V M7 V	4	1	0
Violante	27	8	C	6	6	9	7	A	5	A		Ni VargW	A	G2 V	5	2	0
Risek	27	12	A	4	2	5	5	7	9	C	N	Ni		M2 V M3 V	4	0	1
Porozlo	27	15	A	8	6	7	A	7	4	E		Hi Ga		M1 V M9 V	2	0	1
Rylanor	27	16	A	4	3	4	A	3	4	F	NS	Hi Cp		M2 V	8	1	0
Loneseda	27	20	C	8	6	A	4	1	5	9		Lo Wa		K9 V	7	0	5
Carey	27	26	C	5	7	9	2	2	1	B		Lo		M2 V M2 V	2	1	0
Duale	27	28	A	5	4	3	7	8	A	C		Po Pi Pz RsA	A	M0 V M2 V	4	0	1
Tussinian	27	31	B	6	7	8	3	3	3	9		Lo		K0 V	6	2	0
Edenelt	27	33	A	5	6	3	8	B	D	D		Ri Ph Pz		G7 V	1	3	4
Conway	27	35	D	8	9	4	5	8	6	8	S	Ag Ni		F0 V M0 V	6	1	1
Dodds	27	39	B	5	4	3	9	D	F	A	S	Hi In Po Pz		G7 V	8	2	3
Valhalla	28	11.5	D	5	6	5	5	8	2	7		Ni Pa		G4 V	6	2	2
Zivije	28	12.5	B	6	B	1	9	9	C	D		Fl He Hi In Pz	A	G6 V	4	2	1
Jae Tellona	28	14.5	A	5	6	0	5	6	5	8	N	De Ni Pr Mr		F9 V	9	1	3
Gerome	28	18.5	X	5	7	3	0	0	0	0		Ba Fo	R	K2 V	0	0	1
Catuz	28	24.5	C	4	2	0	6	7	C	B		De He Ni Po Da		K8 V M6 V	5	1	0
Meleto	28	27.5	C	6	7	5	1	0	0	9	S	Lo		F9 V	6	2	4
Hexos	28	28.5	X	5	3	4	0	0	0	0		Ni	R	K1 V M2 V	0	2	3
Pedase	28	30.5	C	4	1	5	3	4	6	7	S	Ba		M2 V M7 V	3	0	1
Leander	28	32.5	E	6	9	5	2	3	3	5		Lo		K5 V M1 V	9	0	1
Pepernium	28	33.5	D	5	6	7	5	3	0	5		Ag Ni Pr		M1 V	7	0	3
Traltha	28	34.5	B	5	9	0	6	3	0	9		De He Ni An		F5 V	6	1	0
Farquahar	28	39.5	C	6	2	5	5	6	3	8	S	Ni O:2739		M3 V	3	0	1
Pavanne	29	5	C	3	1	0	4	4	2	A		Lo Ni Varg2		M0 V	6	2	5
Carsten	29	6	D	4	2	7	5	0	2	C		Ni		M1 V	8	0	4
Zila	29	8	D	5	5	6	7	2	C	7		Ag	A	K6 V M3 V	8	0	1
Henoz	29	12	A	5	4	5	5	4	3	B		Ag Ni Chir0		F3 V	8	2	4
Celepina	29	13	B	4	3	4	4	5	6	8	NS	Ni		M2 V	2	0	1
Gitosy	29	18	B	0	0	0	6	7	6	B		As Na Ni Va		G6 V M3 V	6	1	0
Moran	29	24	C	5	6	7	3	2	2	A	N	Lo	A	M3 V M7 V	4	0	1
Maitz	29	27	A	2	0	1	5	1	1	D		Ic Ni Va		F1 V	3	2	2
Mainz	29	30	C	5	5	3	4	5	2	B	S	Lo Po		K2 V M7 V	2	0	3
Raydrad	29	33	E	9	9	4	6	7	A	6		Ag Ni		M7 III M2 V	6	0	3
Zyra	29	34	C	5	5	5	4	4	8	9		Ni Pa		K8 V	7	0	1
Murchison	29	35	B	5	4	4	4	3	3	9	N	Ni Pa		M5 III M3 V	8	0	5
Hammermium	29	36	A	5	5	2	5	A	B	C		Ni Po Da		M3 V	9	3	5
Thornnastor	29	40	D	5	3	4	4	4	3	9	S	Ni Chir2		M1 V	8	0	4
Jesedipere	30	1.5	B	7	7	5	6	A	5	8	IS	Ag Ni VargW		F4 V	4	1	1
Yebab	30	2.5	C	9	A	4	8	9	B	8		Fl Ph (Ebokin) Varg1		G9 V	1	1	2
Nasemin	30	3.5	B	9	8	A	4	2	2	C	S	Ni Wa Lo Varg1		F5 V	8	1	2
Zykoca	30	4.5	X	9	9	4	5	4	2	5		Ag Ni Da	R	K9 V	5	2	0
Aramanx	30	5.5	B	6	5	7	9	9	8	A		Hi Ga Pz Varg1		G0 V	3	1	0
Pysadi	30	8.5	C	5	7	6	6	D	7	6		Ag Ni Da		F9 V M1 V	2	0	1
L'oeul d'Dieu	30	10.5	B	9	8	A	5	1	0	C	N	Ni Wa Pr		G1 V M9 V	8	0	2
Belizo	30	15.5	B	8	9	5	6	4	6	9		Ag Ni Asla3		K1 V	9	2	3
Kegena	30	16.5	D	8	6	9	5	6	9	5		Ni Pr Da O:2716	A	F6 V	2	2	4
Heroni	30	17.5	C	7	A	0	6	1	4	6		He Ni		G5 V	8	2	0
Pelouse	30	19.5	X	5	7	2	7	7	6	5		He Pi Fo (minor)	R	G9 V	3	3	4
Somem	30	20.5	C	3	0	1	3	4	2	B		Ic Lo Va		M2 V M7 V	2	0	1
Brodie	30	21.5	C	4	1	0	4	6	8	9		Ni O:3020		M1 III M7 V	3	1	4
Rorise	30	22.5	C	9	9	4	1	0	0	A		Lo		M1 V	6	0	2
Jokotre	30	24.5	B	6	5	4	8	D	9	9		Pa Ph Pz		K6 V	1	1	0
Fornice	30	25.5	A	5	5	4	A	8	7	E		Hi		M0 V	5	0	2
Grille	30	26.5	D	4	1	0	3	3	5	8		Lo		M2 V M2 V	1	0	1
Palique	30	29.5	A	5	1	1	9	C	7	F		Hi Ic In Na Pz O:3025	A	M0 V M1 V	6	2	0
Nexine	30	30.5	C	9	7	A	5	5	4	A	S	Ni Wa (Nexxies)		G9 V M2 V	2	0	1
Katarulu	30	32.5	A	5	5	2	6	6	6	D	NW	Ni Po Cp		M0 V M9 V	8	0	1
Prilissa	30	35.5	B	9	8	5	5	8	8	8		Ag Ni Pr		K4 V	6	1	0
Tee-Tee-Tee	30	38.5	C	3	1	0	5	3	0	A		Ni		M2 V	1	0	2
Youghal	30	39.5	A	A	9	5	4	7	5	C		Lo Asla2		K3 V	3	0	1
Tenelphi	30	40.5	D	7	6	A	5	7	9	A	S	Ni Wa Pr		F4 V M0 V	4	0	1
Rugbird	31	2	B	A	C	5	7	8	9	B	IN	Fl Ni Da VargW	A	M1 V	9	1	1
Towers	31	3	B	5	4	4	5	4	8	A		Ni Pa Da Ag Varg1	A	G8 V K6 V	2	3	5
Feneteman	31	4	C	4	2	2	2	0	0	C		He Lo Po Ni		G4 V M7 V	8	1	0
Lewis	31	7	D	4	2	7	3	4	4	B		Ni Fo Lo	R	F8 V	8	0	1
Aramis	31	10	A	5	A	0	6	5	3	C	NS	He Ni Cp De		M2 V	2	1	0
Vinorian	31	11	B	8	7	9	6	1	0	9		Ni		M3 V M4 V	6	1	0
Nutema	31	12	A	8	6	4	5	4	3	A	N	Lo		M3 V	8	2	2
Huderu	31	14	X	5	7	5	0	0	0	0		Ba Fo	R	M0 V	0	2	0
Cipatwe	31	18	B	5	5	8	7	9	A	9		Ag		M1 V	6	2	3
Vanejen	31	19	C	6	8	6	8	5	4	8		Ga Ri Pa Ph Chir2 RsG		G1 V M0 V	5	2	0
Nadrin	31	23	D	4	2	0	2	0	3	8	S	De He Lo Po		K5 V M1 V	7	2	0
Mora	31	24	A	A	9	9	A	C	7	G	NS	Hi In Cs		F0 V	3	1	2
Zephyr	31	38	C	8	9	5	5	6	6	3		Ag Ni Da O:3235	R	K5 V	6	0	4
Chamois	31	39	B	5	4	4	6	4	2	9	S	Ag Ni		F9 V	8	2	3
Junidy	32	2.5	A	4	3	4	A	E	E	D	IW	Hi Pz (Llellewyloly)6 Varg1		F7 V M2 V	4	1	0
Patinir	32	7.5	C	0	0	0	6	3	2	A		As Na Ni Va An		F3 V	3	2	3
Natoko	32	9.5	B	5	8	2	4	6	8	A	N	Lo Ni		M2 V M6 V	8	0	1
Reacher	32	10.5	C	9	A	8	5	4	2	8		Fl Ni Da	A	G4 V	4	3	3
Margesi	32	12.5	A	5	7	6	5	5	7	D	NS	Lo		F0 V	9	2	0
Bevey	32	16.5	B	4	2	0	9	C	C	C	S	De He Hi In Na Po Pz		F4 V	2	2	4
Tacaxeb	32	18.5	C	4	3	0	4	1	1	A		De Ni Po		A5 V M2 V	8	0	1
Powaza	32	20.5	C	7	8	7	5	6	6	7		Ag Ni Ga Pr O:3218		K4 V M2 V	3	3	2
Dojodo	32	23.5	C	5	1	2	3	1	1	8	S	Ic Lo Chir1		M0 V	8	1	0
Fenl's Gren	32	28.5	C	6	4	7	3	4	6	B		Lo Da	A	K7 V	7	2	3
Ramiva	32	33.5	B	3	1	0	8	A	7	B		Na Pi		M3 V	1	1	4
Trin	32	35.5	C	8	9	4	8	6	1	6	N	Mr		G0 V	5	0	1
Hazel	32	36.5	B	6	4	5	7	4	7	9		Ag Pi Pz		F1 V M3 V	2	1	0
